ID 2011,ID 2004,ID 1992,General location,Additional location information,"Figure location reference (see figs. 1 and 3, table 1)",Type of slope movement,Season,Year,Month,Day,Time (PST),Minimum volume,Median/best estimate volume,Maximum volume,Relative size,Rock unit,Triggering condition(s),Deaths,Injuries,Infrastructure impacts,Published references,Narrative descriptions
1857000001,1,2R,Taft Point,Profile Cliff,"F3-19, PF",RF,n/a,1857,n/a,n/a,n/a,50000,200000,500000,extremely large,Kec,UKN,0,0,none,Hutchings (1886),"(1)  From Hutchings (1886):  ""Among these, however, one point stands out somewhat prominently, known as Profile or Fissure Mountain. ... The crown of this bluff is nearly three hundred feet higher than any of its illustrious compeers in this immediate vicinity ... A little northerly of this is a light-colored spot, whence, in 1857, a chip fell, the debris from which was said to cover over thirty acres.""     (2)  According to Park Geologist Greg Stock:  Recent (2011) observations suggest that this rock fall may have occurred from the ""Lost Brother"" formation, which sits to the north of Profile Cliff and displays a large, rectangular, vertically-oriented, fading rock-fall scar on its north face."
1858000001,2,,Yosemite Falls,n/a,F3-5,RF,n/a,1858,n/a,n/a,n/a,-,185000,-,extremely large,Ks/Kec,UKN,0,0,none,Mariposa Gazette (1860),"From the Mariposa Gazette (10 July 1860, p. 3):""…A fall occurred two years since from height of more than 2,000 feet, that covered at least fifty acres with stones of all sizes, great and small.""  "
1860061101,3,,Yosemite Falls,Yosemite Falls,F3-5,RF,Spring,1860,6,11,n/a,500,2000,5000,large,Ks/Kec,F/T,1,0,none,"Mariposa Gazette (1860); Ghiglieri and Farabee, Jr. (2007)","From the Mariposa Gazette (10 July 1860, p. 3):  ""An Indian boy was killed, June 11th, near the great Falls in Yo Semite Valley, by the falling of a large mass of rock from the high cliff, which he was near.  It is somewhat dangerous early in the season, to approach the perpendicular walls which surround the Valley on account of the falling off of sometimes hundreds of tons of rock, detached and loosened by the action of frost during the winter."""
1864111301,4,3R,Sentinel Rock,Sentinel Rock,F3-18,RF,Fall,1864,11,13,late pm,5000,20000,50000,very large,Ks,P,0,0,none,King (1872),"From Clarence King (1872):  ""Rocks, loosening themselves from the plateau, came thundering down precipice-faces, crashing upon debris piles and forest groups below.  Sleet and snow and rain fell fast, and the boom of falling trees and crashing avalanches followed one another in an almost uninterrupted roar.  In the Sentinel gorge, back of our camp, an avalanche of rock was suddenly let loose, and came down with a harsh rattle, the boulders bounding over debris piles and tearing through the trees by our camp [at 'Black's Hotel'].""  [This rock fall came down the gully and drainage on the east side of Sentinel Rock.]        "
1868000001,5,13,Cathedral Rocks,Cathedral Rocks,F3-20,RF,n/a,"1868, pre",n/a,n/a,n/a,5000,20000,50000,very large,Kec,UKN,0,0,none,Whitney (1868),"From Whitney (1868):  ""We see that fragments of rock are loosened by rain, frost, gravity, and other natural causes, along the walls, and probably not a winter elapses that some great mass of detritus does not come thundering down from above, adding, as it is easy to see from actual inspection of those slides which have occurred within the past few years, no inconsiderable amount to the talus.  Several of these great rock-avalanches have taken place since the Valley was inhabited.  One which fell near Cathedral Rock is said to have shaken the Valley like an earthquake.""         "
1870070101,6,,Half Dome,Half Dome,F3-11,RF,Summer,1870,7,1-7,n/a,-,70,-,medium,Khd,L,0,0,none,Mariposa Gazette (1870),"From the Mariposa Gazette (15 July 1870, p. 2, col. 2):  ""LIGHTNING IN THE YOSEMITE VALLEY- We learn that a streak of lightning struck a portion of South Dome in the Yo Semite Valley one day last week, and those who had the good fortune to see it at the moment, describe the scene as terrific as well as grand.  Hundreds of tons of rock were loosened, and sliding and bounding down the side, left in its track a streak of fire, smoke and dust, and the noise therefrom sounding in the canyons like the shooting of heavy artillery."""
1870080601,7,4R,Glacier Point,n/a,F3-16,RF,Summer,1870,8,6,early pm,5000,20000,50000,very large,Kgp,UNR,0,0,none,LeConte (1875) ,"From Le Conte (1875):  ""In the afternoon we moved camp ... Soon after leaving camp, Soule and myself, riding together, heard a hollow rumbling, then a crashing sound.  'Is it thunder or earthquake?' Looking up quickly, the white streak down the cliff of Glacier Point, and the dust there, rising from the valley, revealed the fact that it was the falling of a huge rock mass from Glacier Point.""       "
1872032601,8,5D,Union Point,Eagle Rock,"F3-17, ER",RF,Spring,1872,3,26,2:30,5000,20000,50000,very large,Kgp,EQ,0,0,none,"Mariposa Gazette (1872), Kneeland (1872), Muir (1912), Wieczorek et al. (1992), Wieczorek (2002), Glazner and Stock (2010)","(1) According to Galen Clark (written commun., 4 May 1872):  ""I have just returned from a trip to Yosemite Valley.  When there I made examinations, and gained what information I could with regard to the effects of the recent earthquakes there.  The debris at the base of the walls around the Valley in many places show plain indications of recent movements.  In several places masses of rocks have fallen from the walls above.  One prominent point known as 'Pelican Peak', just back of Hutchings Hotel, fell with a terrible crash, scattering immense masses of boulders around, but did no damage to any of the houses in the vicinity.""     (2) From Kneeland (1872):  According to John Muir:  ""'Eagle Rock' had fallen from a height of 2,000 feet, and was pouring an avalanche of boulders over precipices, and through the forests of firs and spruces, filling the Valley with dust and with countless reverberations.""     (3)  From the Mariposa Gazette (12 April 1872):  "" A portion of 'Pelican Peak', on the south side of the Valley tumbled down, huge rocks came crashing down the precipitous heights, cutting off fir trees in their path three or four feet in diameter.""     (4) From Muir (1912):  ""In Yosemite Valley , one morning about two o'clock I was aroused by an earthquake... I feared that the sheer-fronted Sentinel Rock, which rises to a height of three thousand feet, would be shaken down, and I took shelter back of a big Pine, hoping I might be protected from outbounding boulders, should any come so far... It was a calm moonlight night, and no sound was heard for the first minute or two save a low mumbled underground rumbling and a slight rustling of the agitated trees, as if, in wrestling with the mountains, Nature were holding her breath.  Then, suddenly, out of the strange silence and strange motion there came a tremendous roar.  The Eagle Rock, a short distance up the valley, had given way, and I saw it falling in thousands of the great boulders I had been studying so long, pouring to the valley floor in a free curve luminous from friction, making a terribly sublime and beautiful spectacle - an arc of fire fifteen hundred feet span, as true in form and as steady as a rainbow, in the midst of the stupendous roaring rock-storm.  The sound was inconceivably deep and broad and earnest... The main storm was soon over, and, eager to see the newborn talus, I ran up the valley in the moonlight and climbed it before the huge blocks, after their fiery flight, had come to complete rest.  They were slowly settling into their places, chafing, grating against one another, groaning, and whispering; but no motion was visible except in a stream of small fragments pattering down the face of the cliff at the head of the talus.  A cloud of dust particles, the smallest of the boulders, floated out across the whole breadth of the valley and formed a ceiling that lasted until after sunrise; and the air was loaded with the odor of crush Douglas Spruces, from a grove that had been mowed down and mashed like weeds."""
1872032602,9,6R,Giant Staircase,Liberty Cap,"F3-13, LI",RF,Spring,1872,3,26,2:30,-,36000,-,very large,Khd,EQ,0,0,"structure, trail","Kneeland (1872), Muir (1912), Wieczorek et al. (1992), Wieczorek (2002), Glazner and Stock (2010)","(1) According to Galen Clark (written commun., 4 May 1872):  ""The most remarkable results of the shake [26 March 1987 Owens Valley earthquake] occurred at Snows, between the Vernal [and] Nevada Falls.  Mr. Snow, on hearing the terrible rumbling noise preceding the shake, rushed out of his house somewhat alarmed.  The night was very light and he being in plain view of the Nevada Falls, distinctly saw that water ceased to flow over the falls for at least half a minute.  A large mass of rocks, which would weigh thousands of tons fell from the west side of the 'Cap of Liberty' about a thousand feet above its base.  When this great mass of rocks struck the earth Mr. Snow says he was instantaneously thrown prostrate to the ground.  The house, which stands on the solid bed rock which has an incline of about twenty degrees to the eastward towards the Cap of Liberty and Nevada Falls, has moved two inches to the east.  An addition to the house, which was built last Fall, was so badly wrecked and shattered as to have to be taken down and rebuilt.  The earth around Snow's place is still completely covered with dust from the pulverized rocks.  I think that the prostration of Mr. Snow, and perhaps the moving of the main house and the wrenching apart of the timbers of the addition, was probably more the result of the concussion of the atmosphere when the rocks fell than the effects of the shake.""     (2) According to Jim Snyder (oral commun., 8 January 2004):  That part of the Nevada Fall trail closest to the foot of Liberty Cap was also buried, but rerouted and repaired quickly by Snow.  Parts of the old trail remain visible.     (3) From Kneeland (1872):  John Muir noted that ""other avalanches occurred ... on the west side of the Cap of Liberty.""   "
1872032603,10,7R,Sentinel Rock,Sentinel Rock,F3-18,RF,Spring,1872,3,26,2:30,500,2000,5000,large,Ks,EQ,0,0,none,Wolfe (1938),"From Wolfe (1938):  John Muir noted another rock slide triggered by the 26 March 1872 Owens Valley earthquake:  ""The shoulder of the west Sentinel has a talus gray and white, the gray blocks dating from some ancient earthquake, the white from the Inyo [Owens Valley] earthquake.""              "
